	time	tnf
0	0	0.0
1	30	280.63918548392417
2	60	122.3941977871979
3	90	53.20310250565925
4	120	23.07230762208857
5	150	9.98963538466525
6	180	4.320165969470443
7	210	1.8669742568856633
8	240	0.8064604069088551
9	270	0.3482511799543349
10	300	0.15034684755981062
11	330	0.06489256545333186
12	360	0.028001944774850396
13	390	0.012080026060862543
14	420	0.0052099473912178
15	450	0.0022463517483352585
16	480	0.000968257571540251
17	510	0.00041722007882180444
18	540	0.00017972019191926463
19	570	7.73895009583405e-05
20	600	3.331297732635209e-05
21	630	280.6930954514552
22	660	122.28666738441784
23	690	53.095791171582896
24	720	22.99444877603188
25	750	9.936408288914091
26	780	4.286866964455018
27	810	1.847555415155017
28	840	0.7956690652038722
29	870	0.34246262698593827
30	900	0.1473210306206144
31	930	0.06334260624713031
32	960	0.027221559390433935
33	990	0.011692983424710566
34	1020	0.005020194848613354
35	1050	0.0021542233295103195
36	1080	0.0009239172753166301
37	1110	0.00039605257261360804
38	1140	0.0001696844355526559
39	1170	7.265952598813256e-05
40	1200	3.109609470443852e-05
41	1230	280.39032749989707
42	1260	121.82146135282971
43	1290	52.6838210310369
44	1320	22.704218722269598
45	1350	9.75661087985747
46	1380	4.18433294637777
47	1410	1.7922477158264851
48	1440	0.7669942139744527
