	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	3	0	1167
2	60	18	9	1188
3	90	98	51	1098
4	120	196	67	1026
5	150	239	70	1007
6	180	252	71	1020
7	210	257	71	1040
8	240	260	71	1064
9	270	262	71	1090
10	300	263	71	1130
11	330	264	71	1161
12	360	266	71	1202
13	390	269	71	1237
14	420	273	71	1270
15	450	273	71	1306
16	480	277	71	1358
17	510	279	71	1401
18	540	276	71	1444
19	570	267	71	1485
20	600	203	71	1522
21	630	101	71	1567
22	660	56	119	1554
23	690	92	244	1427
24	720	129	286	1380
25	750	143	295	1404
26	780	145	295	1433
27	810	144	295	1473
28	840	148	295	1513
29	870	149	295	1568
30	900	150	295	1604
31	930	151	295	1642
32	960	153	295	1691
33	990	149	295	1749
34	1020	149	295	1792
35	1050	152	295	1833
36	1080	153	295	1889
37	1110	152	295	1954
38	1140	153	295	2026
39	1170	153	295	2090
40	1200	107	295	2132
41	1230	66	295	2186
42	1260	52	361	2174
43	1290	91	525	2031
44	1320	131	568	2009
45	1350	145	572	2039
46	1380	150	572	2089
47	1410	150	572	2139
48	1440	151	572	2194
